system:index,date,month,ndvi_mean,year,.geo
39,2022-04,4.0,0.3629240946974724,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-05,5.0,0.4179742314592375,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-06,6.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-07,7.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-08,8.0,0.41299636938678996,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-09,9.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-10,10.0,0.45995188739235027,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-11,11.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-12,12.0,0.42545266273779686,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-01,1.0,0.39670771844181085,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02,2.0,0.3593391428508699,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-03,3.0,0.3556484857995405,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-04,4.0,0.3742047577232208,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-05,5.0,0.4213657260909062,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-06,6.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-07,7.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-08,8.0,0.42556503185256733,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-09,9.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-10,10.0,0.44347781778568,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-11,11.0,0.4308954077895978,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-12,12.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
